Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Bernadette,Jordan,South Shore—St. Margarets,Nova Scotia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Majid,Jowhari,Richmond Hill,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Mike,Kelloway,Cape Breton—Canso,Nova Scotia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Peter,Kent,Thornhill,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Kamal,Khera,Brampton West,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Annie,Koutrakis,Vimy,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Michael,Kram,Regina—Wascana,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Damien,Kurek,Battle River—Crowfoot,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Irek,Kusmierczyk,Windsor—Tecumseh,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jenny,Kwan,Vancouver East,British Columbia,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Marie-France,Lalonde,Orléans,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,David,Lametti,LaSalle—Émard—Verdun,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Andréanne,Larouche,Shefford,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
