KPICategory,KPIMeasure,KPIYear,KPIValue
Collections,Library Materials Items Owned by the Library,2012,242801
Training,Formal Technology Training Sessions - number of session,2014,353
Collections,Library Materials Items Owned by the Library,2002,165847
Borrowing,Physical Material Borrowed (Central and Bookmobile),2015,1282677
Borrowing,Items Borrowed from Fort Saskatchewan,2007,18905
Collections,Items Ordered,2004,14725
Borrowing,Items Borrowed from Other Libraries,2005,2501
Collections,Unique Titles Owned by the Library,2010,150474
Visits,Electronic - Web Site Visits,2008,167928
Borrowing,Total Library Materials Used,2007,1160619
Borrowing,Physical Material Borrowed (Central and Bookmobile),2014,1325555
Open days,Days Open,2005,337
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2001,960
Borrowing,Items Borrowed from Fort Saskatchewan,2009,16472
Visits,Total Patron Visits,2013,1455602
Borrowing,Items Borrowed from Fort Saskatchewan,2005,19572
Answers,Reference Questions/Transactions - Total,2013,139700
Open days,Days Open,2012,340
Visits,Patrons visiting the Bookmobile,2015,27020
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2002,61416
Training,Formal Technology Training Sessions - number of session,2010,71
Collections,Library Materials Items Owned by the Library,2010,213015
Borrowing,Items Borrowed from Other Libraries,2001,738
Visits,Patrons visiting Central Library,2003,368156
Borrowing,Laptop Loans,2011,193
Collections,Ebooks and Eaudiobooks owned/licensed by the Library,2014,9708
Internet,Patron Use of Public Computers,2001,29393
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2015,522
Answers,Reference Questions/Transactions - Total,2011,161683
Collections,Items Processed,2005,22061
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2013,216580
Collections,Items Processed,2009,34964
Borrowing,Circulation of Library Materials Borrowed Per Capita,2002,11
Borrowing,Items Borrowed from Fort Saskatchewan,2008,19864
Borrowing,Total Library Materials Used,2004,1075426
Population,Population Served,2005,80232
Training,Formal Technology Training Sessions - number of session,2006,133
Visits,Total Patron Visits,2014,1550017
Answers,Staff-Mediated Customer Service/ Information Transactions,2004,21414
Collections,Items Ordered,2010,65055
Training,Informal Technology Training Sessions,2014,25827
Internet,Patron Use of Public Computers,2013,77477
Borrowing,Items Lent to Fort Saskatchewan,2007,11676
Collections,Items Ordered,2005,16094
Visits,Electronic - Web Site Visits,2007,155747
Internet,Patron Use of Public Computers,2004,53560
Visits,Electronic - Web Site Visits,2002,124735
Borrowing,Items Borrowed from Other Libraries,2007,2581
Collections,Unique Titles Owned by the Library,2013,180957
Borrowing,Items Lent to Other Libraries,2006,1070
Borrowing,Physical Material Borrowed (Central and Bookmobile),2002,804965
Programs,Program Participants,2015,71431
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2015,82827
Collections,Items Processed,2004,21008
Borrowing,Circulation of Library Materials Borrowed Per Capita,2009,12.57
Collections,Items Processed,2015,40051
Library use,Number of people reporting use of Library (County Survey),2003,35997
Visits,Patrons visiting Central Library,2013,540762
Borrowing,Items Lent to Other Libraries,2012,1677
Collections,Items Catalogued,2014,22687
